Player,,Loan: start/end,Age,Nationality,Region Nat,Position,Market value,From Team,From League,From Region,From Country,From Level,To Team,To League,To Region,To Country,To Level,End of Loan Date,Fee,Transfer ID
Junior Adamu,In,No,22,Austria,Europe,Centre-Forward,"8,000,000",RB Salzburg,"Bundesliga, Austria","Europe, ex. Top Leagues",Austria,First Tier,SC Freiburg,"Bundesliga, German",Top,Germany,First Tier,,6000000,1328
Ignacio Miramón,In,No,20,Argentina,South America,Defensive Midfield,"4,000,000",Gimnasia,"Copa de la Liga Profesional de Fútbol, Argentina",South America,Argentina,League Cup,LOSC Lille,"Ligue 1, France",Top,France,First Tier,,6000000,1016
Samu Omorodion,Inside,No,19,Spain,Europe,Centre-Forward,"200,000",Granada CF,"LaLiga, Spain",Top,Spain,First Tier,Atlético Madrid,"LaLiga, Spain",Top,Spain,First Tier,,6000000,2287
Diego Lainez,Out,No,23,Mexico,North America,Right Winger,"2,500,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,Tigres UANL,"Liga MX Apertura, Mexico",North America,Mexico,First Tier,,6000000,619
Jhon Solís,In,No,18,Colombia,South America,Central Midfield,"700,000",Atl. Nacional,"Liga Dimayor Finalización, Colombia",South America,Colombia,First Tier,Girona,"LaLiga, Spain",Top,Spain,First Tier,,6000000,1186
Jean Lucas,Out,No,25,Brazil,South America,Central Midfield,"5,000,000",Monaco,"Ligue 1, France",Top,France,First Tier,Santos,Campeonato Brasileiro Série A,South America,Brazil,First Tier,,6000000,1141
Calvin Stengs,Out,No,24,Netherlands,Europe,Attacking Midfield,"10,000,000",OGC Nice,"Ligue 1, France",Top,France,First Tier,Feyenoord,"Eredivisie, Netherlands","Europe, ex. Top Leagues",Netherlands,First Tier,,6000000,435
Mads Bidstrup,Out,No,22,Denmark,Europe,Central Midfield,"7,500,000",Brentford,"Premier League, England",Top,England,First Tier,RB Salzburg,"Bundesliga, Austria","Europe, ex. Top Leagues",Austria,First Tier,,6000000,1595
Enso González,In,No,18,Paraguay,South America,Left Winger,"4,000,000",Libertad,"Primera División Apertura, Paraguay",South America,Paraguay,First Tier,Wolves,"Premier League, England",Top,England,First Tier,,6000000,725
Sergio Arribas,In,No,21,Spain,Europe,Attacking Midfield,"5,000,000",RM Castilla,"Primera Federación - Grupo II, Spain","Europe, ex. Top Leagues",Spain,Third Tier,UD Almería,"LaLiga, Spain",Top,Spain,First Tier,,6000000,2351
Nedim Bajrami,Inside,No,24,Albania,Europe,Attacking Midfield,"7,500,000",FC Empoli,"Serie A, Italy",Top,Italy,First Tier,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,6000000,1927
Samuele Mulattieri,Inside,No,22,Italy,Europe,Centre-Forward,"4,500,000",Inter,"Serie A, Italy",Top,Italy,First Tier,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,6000000,2301
Arkadiusz Milik,Inside,No,29,Poland,Europe,Centre-Forward,"8,000,000",Marseille,"Ligue 1, France",Top,France,First Tier,Juventus,"Serie A, Italy",Top,Italy,First Tier,,6300000,288
Raúl Jiménez,Inside,No,32,Mexico,North America,Centre-Forward,"6,000,000",Wolves,"Premier League, England",Top,England,First Tier,Fulham,"Premier League, England",Top,England,First Tier,,6400000,2154
Ilia Gruev,Out,No,23,Bulgaria,Europe,Defensive Midfield,"3,000,000",Werder Bremen,"Bundesliga, German",Top,Germany,First Tier,Leeds,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,6500000,1028
Christian Kabasele,In,No,32,Belgium,Europe,Centre-Back,"1,000,000",Watford,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,Udinese Calcio,"Serie A, Italy",Top,Italy,First Tier,,6500000,489
Raúl García,Inside,No,22,Spain,Europe,Centre-Forward,"4,000,000",Real Betis,"LaLiga, Spain",Top,Spain,First Tier,CA Osasuna,"LaLiga, Spain",Top,Spain,First Tier,,6500000,2153
Orbelín Pineda,Out,No,27,Mexico,North America,Central Midfield,"6,500,000",Celta de Vigo,"LaLiga, Spain",Top,Spain,First Tier,AEK Athens,"Super League 1, Greece","Europe, ex. Top Leagues",Greece,First Tier,,6500000,2023
Tiago Santos,In,No,20,Portugal,Europe,Right-Back,"3,500,000",Estoril Praia,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,LOSC Lille,"Ligue 1, France",Top,France,First Tier,,6500000,2469
Junior Dina Ebimbe,Inside,No,22,France,Europe,Central Midfield,"10,000,000",Paris SG,"Ligue 1, France",Top,France,First Tier,E. Frankfurt,"Bundesliga, German",Top,Germany,First Tier,,6500000,1332
Dion Lopy,Inside,No,21,Senegal,Africa,Defensive Midfield,"4,000,000",Stade Reims,"Ligue 1, France",Top,France,First Tier,UD Almería,"LaLiga, Spain",Top,Spain,First Tier,,6500000,637
Yann Sommer,Inside,No,34,Switzerland,Europe,Goalkeeper,"5,000,000",Bayern Munich,"Bundesliga, German",Top,Germany,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,,6750000,2629
Arthur,In,No,20,Brazil,South America,Right-Back,"5,000,000",América-MG,Campeonato Brasileiro Série A,South America,Brazil,First Tier,B. Leverkusen,"Bundesliga, German",Top,Germany,First Tier,,7000000,301
Trincão,Out,No,23,Portugal,Europe,Left Winger,"12,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Sporting CP,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,,7000000,2529
Théo Bongonda,Out,No,27,DR Congo,Africa,Right Winger,"5,000,000",Cádiz CF,"LaLiga, Spain",Top,Spain,First Tier,Spartak Moscow,"Premier Liga, Russia","Europe, ex. Top Leagues",Russia,First Tier,,7000000,2449
Lucas Boyé,In,No,27,Argentina,South America,Centre-Forward,"10,000,000",Elche CF,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,Granada CF,"LaLiga, Spain",Top,Spain,First Tier,,7000000,1535
Ellis Simms,Out,No,22,England,Europe,Centre-Forward,"4,000,000",Everton,"Premier League, England",Top,England,First Tier,Coventry,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,7000000,704
Raoul Bellanova,Inside,No,23,Italy,Europe,Right Midfield,"7,000,000",Cagliari Calcio,"Serie A, Italy",Top,Italy,First Tier,Torino,"Serie A, Italy",Top,Italy,First Tier,,7000000,2142
Elia Caprile,In,No,21,Italy,Europe,Goalkeeper,"6,000,000",Bari,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,,7000000,696
Walid Cheddira,In,No,25,Morocco,Africa,Centre-Forward,"7,500,000",Bari,"Serie B, Italy","Europe, ex. Top Leagues",Italy,Second Tier,SSC Napoli,"Serie A, Italy",Top,Italy,First Tier,,7000000,2588
Yann Bisseck,In,No,22,Germany,Europe,Centre-Back,"7,000,000",Aarhus GF,"Superligaen, Denmark","Europe, ex. Top Leagues",Denmark,First Tier,Inter,"Serie A, Italy",Top,Italy,First Tier,,7000000,2625
Julian Weigl,In,No,27,Germany,Europe,Defensive Midfield,"10,000,000",Benfica,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,Bor. M'gladbach,"Bundesliga, German",Top,Germany,First Tier,,7180000,1326
Angelo Fulgini,Inside,No,26,France,Europe,Attacking Midfield,"9,000,000",1.FSV Mainz 05,"Bundesliga, German",Top,Germany,First Tier,Lens,"Ligue 1, France",Top,France,First Tier,,7200000,243
Abde Ezzalzouli,Inside,No,21,Morocco,Africa,Left Winger,"15,000,000",Barcelona,"LaLiga, Spain",Top,Spain,First Tier,Real Betis,"LaLiga, Spain",Top,Spain,First Tier,,7500000,13
Cyle Larin,In,No,28,Canada,North America,Centre-Forward,"8,000,000",Real Valladolid,"LaLiga2, Spain","Europe, ex. Top Leagues",Spain,Second Tier,RCD Mallorca,"LaLiga, Spain",Top,Spain,First Tier,,7500000,532
Diogo Leite,In,No,24,Portugal,Europe,Centre-Back,"15,000,000",FC Porto,Liga Portugal,"Europe, ex. Top Leagues",Portugal,First Tier,Union Berlin,"Bundesliga, German",Top,Germany,First Tier,,7500000,636
Stephy Mavididi,Out,No,25,England,Europe,Left Winger,"6,000,000",Montpellier,"Ligue 1, France",Top,France,First Tier,Leicester,"Championship, England","Europe, ex. Top Leagues",England,Second Tier,,7500000,2410
Ibrahima Koné,Inside,No,24,Mali,Africa,Centre-Forward,"4,000,000",FC Lorient,"Ligue 1, France",Top,France,First Tier,UD Almería,"LaLiga, Spain",Top,Spain,First Tier,,7500000,1012
Niels Nkounkou,In,No,22,France,Europe,Left-Back,"5,000,000",Saint-Étienne,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,E. Frankfurt,"Bundesliga, German",Top,Germany,First Tier,,7500000,1965
Formose Mendy,In,No,22,Senegal,Africa,Centre-Back,"3,000,000",Amiens SC,"Ligue 2, France","Europe, ex. Top Leagues",France,Second Tier,FC Lorient,"Ligue 1, France",Top,France,First Tier,,7500000,820
Benjamin Tahirovic,Out,No,20,Bosnia-Herzegovina,Europe,Defensive Midfield,"1,500,000",AS Roma,"Serie A, Italy",Top,Italy,First Tier,Ajax,"Eredivisie, Netherlands","Europe, ex. Top Leagues",Netherlands,First Tier,,7500000,369
Cristian Volpato,Inside,No,19,Italy,Europe,Attacking Midfield,"5,000,000",AS Roma,"Serie A, Italy",Top,Italy,First Tier,Sassuolo,"Serie A, Italy",Top,Italy,First Tier,,7500000,530
